,Game,Date / Box Score,Opponent,Score,Decision,Record
0,1,04-05-2010,at Oakland Athletics,5-3,W,1-0
1,2,04-06-2010,at Oakland Athletics,1-2,L,1-1
2,3,04-07-2010,at Oakland Athletics,5-6,L,1-2
3,4,04-08-2010,at Oakland Athletics,2-6,L,1-3
4,5,04-09-2010,at Texas Rangers,2-6,L,1-4
5,6,04-10-2010,at Texas Rangers,4-3,W,2-4
6,7,04-11-2010,at Texas Rangers,2-9,L,2-5
7,8,04-12-2010,vs Oakland Athletics,0-4,L,2-6
8,9,04-13-2010,vs Oakland Athletics,3-0,W,3-6
9,10,04-14-2010,vs Oakland Athletics,4-2,W,4-6
10,11,04-16-2010,vs Detroit Tigers,11-3,W,5-6
11,12,04-17-2010,vs Detroit Tigers,4-2,W,6-6
12,13,04-18-2010,vs Detroit Tigers,2-4,L,6-7
13,14,04-19-2010,vs Baltimore Orioles,8-2,W,7-7
14,15,04-20-2010,vs Baltimore Orioles,3-1,W,8-7
15,16,04-21-2010,vs Baltimore Orioles,4-1,W,9-7
16,17,04-23-2010,at Chicago White Sox,6-7,L,9-8
17,18,04-24-2010,at Chicago White Sox,4-5,L,9-9
18,19,04-25-2010,at Chicago White Sox,2-3,L,9-10
19,20,04-26-2010,at Kansas City Royals,1-3,L,9-11
20,21,04-27-2010,at Kansas City Royals,3-2,W,10-11
21,22,04-28-2010,at Kansas City Royals,6-5,W,11-11
22,23,04-30-2010,vs Texas Rangers,0-2,L,11-12
23,24,05-01-2010,vs Texas Rangers,3-6,L,11-13
24,25,05-02-2010,vs Texas Rangers,1-3,L,11-14
25,26,05-04-2010,vs Tampa Bay Rays,2-5,L,11-15
26,27,05-05-2010,vs Tampa Bay Rays,3-8,L,11-16
27,28,05-06-2010,vs Tampa Bay Rays,0-8,L,11-17
28,29,05-07-2010,vs Los Angeles Angels,0-8,L,11-18
29,30,05-08-2010,vs Los Angeles Angels,3-4,L,11-19
30,31,05-09-2010,vs Los Angeles Angels,8-1,W,12-19
31,32,05-11-2010,at Baltimore Orioles,5-1,W,13-19
32,33,05-12-2010,at Baltimore Orioles,2-5,L,13-20
33,34,05-13-2010,at Baltimore Orioles,5-6,L,13-21
34,35,05-14-2010,at Tampa Bay Rays,4-3,W,14-21
35,36,05-15-2010,at Tampa Bay Rays,2-3,L,14-22
36,37,05-16-2010,at Tampa Bay Rays,1-2,L,14-23
37,38,05-17-2010,at Oakland Athletics,4-8,L,14-24
38,39,05-18-2010,at Oakland Athletics,5-6,L,14-25
39,40,05-19-2010,vs Toronto Blue Jays,2-3,L,14-26
40,41,05-20-2010,vs Toronto Blue Jays,4-3,W,15-26
41,42,05-21-2010,vs San Diego Padres,15-8,W,16-26
42,43,05-22-2010,vs San Diego Padres,1-2,L,16-27
43,44,05-23-2010,vs San Diego Padres,1-8,L,16-28
44,45,05-25-2010,vs Detroit Tigers,5-3,W,17-28
45,46,05-26-2010,vs Detroit Tigers,5-4,W,18-28
46,47,05-28-2010,at Los Angeles Angels,8-3,W,19-28
47,48,05-29-2010,at Los Angeles Angels,1-5,L,19-29
48,49,05-30-2010,at Los Angeles Angels,7-9,L,19-30
49,50,05-31-2010,vs Minnesota Twins,4-5,L,19-31
50,51,06-01-2010,vs Minnesota Twins,7-1,W,20-31
51,52,06-02-2010,vs Minnesota Twins,2-1,W,21-31
52,53,06-03-2010,vs Minnesota Twins,4-1,W,22-31
53,54,06-04-2010,vs Los Angeles Angels,1-7,L,22-32
54,55,06-05-2010,vs Los Angeles Angels,2-11,L,22-33
55,56,06-06-2010,vs Los Angeles Angels,4-9,L,22-34
56,57,06-07-2010,at Texas Rangers,4-2,W,23-34
57,58,06-08-2010,at Texas Rangers,1-7,L,23-35
58,59,06-09-2010,at Texas Rangers,2-12,L,23-36
59,60,06-10-2010,at Texas Rangers,3-12,L,23-37
60,61,06-11-2010,at San Diego Padres,3-4,L,23-38
61,62,06-12-2010,at San Diego Padres,1-7,L,23-39
62,63,06-13-2010,at San Diego Padres,4-2,W,24-39
63,64,06-14-2010,at St. Louis Cardinals,3-9,L,24-40
